ID,最近一次消費天數,最近一次消費天數_級距,最近一次消費天數_組數,消費頻率,消費頻率_級距,消費頻率_組數,消費金額,消費金額_級距,消費金額_組數,cluster
1,387,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
2,470,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
3,269,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',214,'\'(135.5-354.5]\'','\'B3of5\'',cluster2
4,149,'\'(97.5-215.5]\'','\'B2of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',400,'\'(354.5-712.5]\'','\'B4of5\'',cluster1
5,416,'\'(313.5-418.5]\'','\'B4of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
6,318,'\'(313.5-418.5]\'','\'B4of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',1396,'\'(712.5-inf)\'','\'B5of5\'',cluster2
7,37,'\'(-inf-97.5]\'','\'B1of5\'',3,'\'(2.5-3.5]\'','\'B4of5\'',388,'\'(354.5-712.5]\'','\'B4of5\'',cluster5
8,223,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',135,'\'(16.5-135.5]\'','\'B2of5\'',cluster1
9,67,'\'(-inf-97.5]\'','\'B1of5\'',2,'\'(1.5-2.5]\'','\'B3of5\'',1558,'\'(712.5-inf)\'','\'B5of5\'',cluster5
10,261,'\'(215.5-313.5]\'','\'B3of5\'',1,'\'(0.5-1.5]\'','\'B2of5\'',82,'\'(16.5-135.5]\'','\'B2of5\'',cluster2
11,11,'\'(-inf-97.5]\'','\'B1of5\'',7,'\'(3.5-inf)\'','\'B5of5\'',1018,'\'(712.5-inf)\'','\'B5of5\'',cluster5
12,464,'\'(418.5-inf)\'','\'B5of5\'',0,'\'(-inf-0.5]\'','\'B1of5\'',0,'\'(-inf-16.5]\'','\'B1of5\'',cluster4
